reg_type,mode,sparsity,accuracy,lambda,threshold,UPDATE_PER_EPOCH,epsilon,update_per_epoch,momentum_mask
dummy,weight-wise,89.31050668247732,87.49,0.003,0.2,, 100.0,0.0001, FALSE
WL1,weight-wise,24.69856960982551,88.03,0.003,0.0001,,1e-05,2.0, FALSE
WL1,weight-wise,31.074165605731547,87.94,0.003,0.0001,,1e-05,2.0, FALSE
WL1,weight-wise,40.407898349933845,87.77,0.003,0.0001,,1e-05,2.0, FALSE
WL1,weight-wise,46.23180808307746,88.96,0.003,0.0001,,1e-05,2.0, FALSE
WL1,weight-wise,52.11562944656632,88.6,0.003,0.0001,,1e-05,2.0, FALSE
WL1,weight-wise,60.19870690731172,88.6,0.003,0.0001,,1e-05,2.0, FALSE
WL1,weight-wise,65.46094510596869,88.51,0.003,0.0001,,1e-05,2.0, FALSE
WL1,weight-wise,72.14982900222172,88.73,0.003,0.0001,,1e-05,2.0, FALSE
WL1,weight-wise,79.5651414164108,88.8,0.003,0.0001,,1e-05,2.0, FALSE
WL1,weight-wise,85.07201877231084,88.59,0.003,0.0001,,1e-05,2.0, FALSE
WL1,weight-wise,90.14079233131132,89.34,0.003,0.0001,,1e-05,2.0, FALSE
WL1,weight-wise,29.258094310891437,87.98,0.003,0.0001,,1e-05,2.0, TRUE
WL1,weight-wise,47.9430340248134,88.92,0.003,0.0001,,1e-05,2.0, TRUE
WL1,weight-wise,60.8689682717991,89.12,0.003,0.0001,,1e-05,2.0, TRUE
WL1,weight-wise,71.32229960807808,88.5,0.003,0.0001,,1e-05,2.0, TRUE
WL1,weight-wise,78.585336628473,89.05,0.003,0.0001,,1e-05,2.0, TRUE
WL1,weight-wise,86.65093986370104,89.12,0.003,0.0001,,1e-05,2.0, TRUE
WL1,weight-wise,91.76090266856387,89.2,0.003,0.0001,,1e-05,2.0, TRUE
