reg_type,mode,sparsity,accuracy,lambda,threshold,update_per_epoch,epsilon,model,p_norm,corr_acc,pgd_norm,fab_norm,weight_decay
WL1,dummy,76.4509847974238,87.07,0.003,0.001,2.0,1e-05,,,,,,
WL1,weight-wise,0.0,77.94,0.003,1e-05,1.0,1e-06,ResNet20,15.000250549316409,,,,
WL1,weight-wise,21.117611021457176,79.62,0.003,1e-05,1.0,1e-06,ResNet20,15.380507080078123,,,,
WL1,weight-wise,38.01289522443368,78.31,0.003,1e-05,1.0,1e-06,ResNet20,15.236442138671874,,,,
WL1,weight-wise,51.21331659793198,77.21,0.003,1e-05,1.0,1e-06,ResNet20,15.14004266357422,,,,
WL1,weight-wise,61.21981650827804,76.49,0.003,1e-05,1.0,1e-06,ResNet20,15.023245300292968,,,,
WL1,weight-wise,68.50868148945072,74.0,0.003,1e-05,1.0,1e-06,ResNet20,14.150754333496094,,,,
WL1,weight-wise,73.78481561173868,73.39,0.003,1e-05,1.0,1e-06,ResNet20,14.18668780517578,,,,
WL1,weight-wise,79.95935688243381,74.58,0.003,1e-05,1.0,1e-06,ResNet20,14.217390502929687,,,,
WL1,weight-wise,87.37261669953978,68.38,0.003,1e-05,1.0,1e-06,ResNet20,13.772138214111328,,,,
WL1,weight-wise,93.53632478632478,65.39,0.003,1e-05,1.0,1e-06,ResNet20,12.904880157470703,,,,
WL1,weight-wise,0.0,75.23,0.003,5e-05,1.0,1e-06,ResNet20,14.731837768554689,49.89,,,
WL1,weight-wise,54.89996114996115,78.62,0.003,5e-05,1.0,1e-06,ResNet20,15.372268615722655,49.89,,,
WL1,weight-wise,80.2933177933178,77.82,0.003,5e-05,1.0,1e-06,ResNet20,15.409418884277343,49.89,,,
WL1,weight-wise,90.3057946327177,74.45,0.003,5e-05,1.0,1e-06,ResNet20,14.612395629882812,49.89,,,
WL1,weight-wise,96.8688362919132,67.16,0.003,5e-05,1.0,1e-06,ResNet20,13.537868591308596,49.89,,,
WL1,weight-wise,0.0,75.04,0.003,5e-05,1.0,1e-06,ResNet20,,60.72,19.384897338867187,0.0,
WL1,weight-wise,61.99046679815911,74.96,0.003,5e-05,1.0,1e-06,ResNet20,,59.85,19.387158935546875,0.0,
WL1,weight-wise,84.81934731934732,67.47,0.003,5e-05,1.0,1e-06,ResNet20,,56.07,19.38617041015625,0.0,
WL1,weight-wise,92.59794692487,62.11,0.003,5e-05,1.0,1e-06,ResNet20,,54.12,19.38575915527344,0.0,
WL1,weight-wise,0.0,73.96,0.003,1e-05,1.0,1e-06,ResNet20,,,,70.8,0.0001
WL1,weight-wise,5.724777359392744,80.79,0.003,1e-05,1.0,1e-06,ResNet20,,,,79.6,0.0001
WL1,weight-wise,26.65747713824637,79.31,0.003,1e-05,1.0,1e-06,ResNet20,,,,78.0,0.0001
WL1,weight-wise,43.18256529794992,79.12,0.003,1e-05,1.0,1e-06,ResNet20,,,,74.7,0.0001
WL1,weight-wise,52.675049309664686,78.53,0.003,1e-05,1.0,1e-06,ResNet20,,,,76.2,0.0001
WL1,weight-wise,62.61468232622078,78.88,0.003,1e-05,1.0,1e-06,ResNet20,,,,77.9,0.0001
WL1,weight-wise,70.44707429322814,76.83,0.003,1e-05,1.0,1e-06,ResNet20,,,,74.9,0.0001
WL1,weight-wise,76.5020769828462,76.53,0.003,1e-05,1.0,1e-06,ResNet20,,,,75.4,0.0001
WL1,weight-wise,85.49249895403742,73.95,0.003,1e-05,1.0,1e-06,ResNet20,,,,71.7,0.0001
WL1,weight-wise,90.58633674018289,72.76,0.003,1e-05,1.0,1e-06,ResNet20,,,,70.8,0.0001
WL1,weight-wise,0.0,76.06,0.003,1e-05,1.0,1e-06,ResNet20,,,,76.3,0.0
WL1,weight-wise,22.213256828641445,79.49,0.003,1e-05,1.0,1e-06,ResNet20,,,,78.4,0.0
WL1,weight-wise,35.299369433984815,78.46,0.003,1e-05,1.0,1e-06,ResNet20,,,,77.4,0.0
WL1,weight-wise,48.94245711553404,77.68,0.003,1e-05,1.0,1e-06,ResNet20,,,,77.4,0.0
WL1,weight-wise,59.229499133345286,78.55,0.003,1e-05,1.0,1e-06,ResNet20,,,,76.8,0.0
WL1,weight-wise,66.95131791285638,76.97,0.003,1e-05,1.0,1e-06,ResNet20,,,,76.0,0.0
WL1,weight-wise,75.35151813997967,75.43,0.003,1e-05,1.0,1e-06,ResNet20,,,,75.4,0.0
WL1,weight-wise,80.4535742035742,74.06,0.003,1e-05,1.0,1e-06,ResNet20,,,,73.1,0.0
WL1,weight-wise,88.32855179009024,70.16,0.003,1e-05,1.0,1e-06,ResNet20,,,,70.6,0.0
WL1,weight-wise,94.44182953798338,67.21,0.003,1e-05,1.0,1e-06,ResNet20,,,,67.3,0.0
